シーン名,話者ID,会話ID,日本語１,日本語２,日本語３,日本語４,日本語５,中学生英語１,中学生英語２,中学生英語３,中学生英語４,中学生英語５,ネイティブ英語１,ネイティブ英語２,ネイティブ英語３,ネイティブ英語４,ネイティブ英語５
バス停で時刻確認,A,5,そうしたらタクシー考えよう。,遅れたらタクシーにしよう。,じゃあタクシーで行こっか。,遅れたらタクシーを検討しましょう。,遅れたらタクシーね。,Then we can take a taxi.,Taxi if needed.,We can call a cab.,Taxi is plan B.,Then taxi.,"If so, we’ll grab a cab.",Taxi’s our backup.,Cab if it does.,Then we hop in a taxi.,Taxi backup.
バス停で時刻確認,B,6,了解、様子見よう。,OK、様子みよう。,わかった、様子見よう。,承知しました。様子を見ましょう。,りょーかい、様子見るね。,"Okay, let’s wait first.","Sure, we’ll see.",Let’s watch the clock.,Sounds good.,Let’s decide soon.,"Cool, we’ll play it by ear.",Works for me.,Let’s watch.,Sounds like a plan.,Got it.
図書館で本を探す,A,1,この本棚に歴史の本ある？,この棚に歴史本ある？,ここに歴史の本ってある？,こちらの棚に歴史書はありますか？,歴史の本ここ？,Are history books on this shelf?,Is this the history section?,Where are history books?,History books here?,Can I find history here?,Any history books on this shelf?,Where’d they stash the history stuff?,Got history books here?,Any idea where the history section is?,History titles around?
図書館で本を探す,B,2,上の段にあると思うよ。,上の段かな。,たぶん上段。,上の段にあると思います。,上にあるよ。,I think on the top row.,"Yes, top shelf.",Top level here.,Up there.,Top shelf should have it.,"Yeah, top row.",Up on the highest shelf.,Top tier.,"Right here, top shelf.",Top shelf over there.
図書館で本を探す,A,3,「日本の戦国時代」を探してるんだ。,『日本の戦国時代』探してるんだけど。,『戦国時代の日本』を探してる。,「日本の戦国時代」という本を探しています。,“戦国時代”の本探してる。,I look for “Sengoku Period of Japan.”,I need “Japan’s Warring States.”,I want “Japanese Sengoku Age.”,Looking for “Sengoku Japan.”,Book name is “Sengoku Period.”,I’m hunting “Japan’s Sengoku Era.”,Need the title “The Warring States of Japan.”,Looking for “Sengoku Japan.”,I’m after a book on the Sengoku period.,Need “Japan’s Warring States.”
図書館で本を探す,B,4,それなら番号は210.4だよ。,じゃあ210.4番だよ。,番号は210.4かな。,それなら分類番号は210.4です。,210.4だよ。,The number is 210.4.,Call number 210.4.,Try 210.4.,Number 210.4.,Code 210.4.,Call number’s 210.4.,That’s 210.4.,Number 210.4.,Try 210.4.,Call no. 210.4.
図書館で本を探す,A,5,ありがとう、すぐ見てみる。,ありがとう、探してみるね。,サンキュー、今見る。,ありがとうございます。すぐ確認します。,ありがと、今見るわ。,"Thanks, I’ll check.","OK, I’ll search.",Thanks a lot.,Got it.,I’ll look now.,"Cheers, I’ll grab it.","Thanks, I’ll take a look.",Perfect.,"Great, thanks.","Got it, thanks."
図書館で本を探す,B,6,見つからなかったら職員に聞こう。,なかったらスタッフに聞こう。,もし無かったら司書さんに聞こうね。,見つからなければ職員に相談しましょう。,なければ職員に聞こうね。,Ask staff if not there.,We can ask later.,Ask a librarian if missing.,Staff can help too.,Let’s ask if needed.,"If it’s gone, we’ll ask the librarian.",We can flag a staffer if it’s missing.,Ask the desk if you strike out.,Librarian can help if not there.,Let’s ask if it’s checked out.
カフェで注文,A,1,カフェラテのトールサイズください。,トールのカフェラテください。,トールサイズラテをお願いします。,カフェラテ（トール）をください。,トールラテ一つ。,"A tall café latte, please.",I’d like a tall latte.,"Tall café latte, please.",Can I get a tall latte?,"Tall latte, please.",Could I get a tall latte?,I’ll have a tall café latte.,"One tall latte, please.","Hi, tall latte for me.",Can I grab a tall latte?
カフェで注文,B,2,砂糖は入れますか？,お砂糖入れますか？,砂糖入れます？,砂糖はお入れしますか？,砂糖どうします？,Any sugar?,Sugar?,Do you need sugar?,With sugar?,Sugar added?,Want sugar with that?,Sugar?,Need any sugar packs?,Sweetener?,With sugar?
カフェで注文,A,3,いいえ、ミルクだけで。,砂糖なしでミルクだけ。,砂糖はいりません、ミルクだけ。,いいえ、ミルクだけお願いします。,砂糖なしで。,"No, only milk.","No, just milk.","Just milk, thanks.",No sugar. Milk only.,"No, milk only.","Nah, just milk.","I’m good, thanks—just milk.","No thanks, milk’s fine.",None—just milk.,"Just milk, no sugar."
カフェで注文,B,4,他にご注文は？,他にいかがですか？,ほかは？,他にご要望ありますか？,追加あります？,Anything else?,Something more?,Anything else?,More orders?,Anything more?,Anything else for you?,Something to eat?,Anything else?,Want a snack?,Anything else today?
カフェで注文,A,5,チョコマフィンを一つ。,チョコのマフィンください。,チョコマフィン一個。,チョコマフィンを一つお願いします。,チョコマフィンで。,One chocolate muffin.,A choco muffin.,One chocolate muffin.,"Chocolate muffin, please.",One choco muffin.,"Yeah, a chocolate muffin.","A choc muffin, please.",A chocolate muffin.,"Chocolate muffin, thanks.",One chocolate muffin.
カフェで注文,B,6,かしこまりました。,承知しました。,了解です。,かしこまりました。少々お待ちください。,了解～。,Certainly.,Sure.,Okay.,Got it.,Alright.,You got it.,Coming right up.,Sure thing.,Absolutely.,Of course.
雨で傘を借りる,A,1,雨強いね。傘持ってる？,雨ひどい！傘ある？,雨すごいね、傘ある？,雨が激しいですね。傘をお持ちですか？,雨やばい、傘ある？,"Heavy rain, huh. Do you have an umbrella?",It’s raining hard. Umbrella?,Big rain today. Do you carry another umbrella?,Rain is strong. Need umbrella.,"Wow, heavy rain. Have spare umbrella?",It’s pouring! Got a spare umbrella?,"Man, the rain’s brutal. Do you have another umbrella?","Crazy rain, huh? Spare umbrella?",It’s coming down hard. Any chance you’ve got an extra umbrella?,This rain is insane. Can I borrow a spare umbrella?
雨で傘を借りる,B,2,一本余ってるよ。使う？,もう一本あるよ。使う？,予備あるよ、いる？,一本余っていますが使いますか？,余ってるけど？,I have one extra. Want it?,I got spare.,"Yes, you can use it.",I have extra.,"Yes, here.","Yeah, I’ve got an extra. Need it?",I do. Want to borrow it?,I’ve got one you can borrow.,"Actually, yes. Here you go.","Sure thing, I’ve got one."
雨で傘を借りる,A,3,助かる！返すのは明日でいい？,助かった！明日返していい？,ありがたい！明日返してもいい？,助かります。明日返却でよろしいですか？,助かる！明日で返却いい？,Thanks! Can I return it tomorrow?,May I borrow? Give back tomorrow?,I’ll return it tomorrow.,Tomorrow I give back.,"I return tomorrow, okay?",That’d be awesome. I’ll give it back tomorrow.,"Yes, thanks! I’ll return it tomorrow.",Lifesaver. Back to you tomorrow.,Thanks. I’ll get it back to you tomorrow.,"I’ll return it tomorrow, promise."
雨で傘を借りる,B,4,いいよ、気をつけてね。,いいよ。気をつけて！,いいよ、気をつけて。,ええ、どうぞお気をつけて。,いいよ、安全にね。,"Sure, be careful.","Okay, take care.",Fine. Stay dry.,That’s fine. Stay dry.,"Okay, be safe.",No worries—stay dry.,Sounds good.,"Cool, take care.","That’s fine, stay safe.",All good.
雨で傘を借りる,A,5,本当にありがとう。,ほんとに感謝！,助かった、ありがとう！,本当にありがとうございます。,マジありがとう。,Thanks a lot.,Thank you.,Thanks!,Thanks!,Really thanks.,"Seriously, thanks.",Really appreciate it.,Thanks a ton.,Much appreciated.,Thanks so much.
雨で傘を借りる,B,6,どういたしまして。,いやいや、どういたしまして。,いえいえ。,いいえ、どういたしまして。,どうぞどうぞ。,You’re welcome.,No problem.,Anytime.,Welcome.,Sure.,Anytime.,Don’t mention it.,You bet.,Happy to help.,My pleasure.
友達を映画に誘う,A,1,今週末映画観に行かない？,週末映画行かない？,週末さ、映画どう？,今週末映画を観に行きませんか？,週末、映画行こうよ。,Want to see a movie this weekend?,Let’s go to a movie on weekend.,Movie this weekend?,Do you want to watch a film on Saturday?,How about a movie this weekend?,Wanna catch a movie this weekend?,Feel like hitting the movies Saturday?,Up for a movie this weekend?,How about we see a movie Saturday?,Interested in a movie this weekend?
友達を映画に誘う,B,2,いいね、何観るの？,いいよ、何見る？,いいね、何観る？,いいですね。何を観ますか？,いいよ、何見る？,Sounds good. Which one?,Nice. What movie?,Sure. Which?,Good idea. What film?,Okay. What will we watch?,Sure! What’re we seeing?,I’m in. Which film?,Absolutely. What’s playing?,Great idea—what movie?,Yeah! Which one were you thinking?
友達を映画に誘う,A,3,新しいアニメ映画だよ。,新作アニメだよ。,最新のアニメ映画！,新しいアニメ映画です。,新しいアニメ！,The new anime film.,New animation.,Latest anime.,New anime one.,A new anime movie.,That new anime flick.,The latest anime release.,Brand-new anime one.,The new anime everyone’s talking about.,That new anime.
友達を映画に誘う,B,4,土曜の午後なら空いてるよ。,土曜午後なら行ける。,土曜午後ヒマ！,土曜の午後は空いています。,土曜午後空き！,I’m free Saturday afternoon.,Saturday PM is OK.,Free on Saturday afternoon.,Afternoon is fine.,I’m open on Saturday afternoon.,I’m free Saturday afternoon.,Afternoon works.,Saturday after lunch is open.,Afternoon suits me.,I’m good Saturday noon onward.
友達を映画に誘う,A,5,じゃあ３時の回でどう？,じゃあ15時の回は？,じゃあ3時上映どう？,では15時の回はいかがですか？,3時の回ね？,How about the 3 p.m. show?,3 o’clock?,3 p.m. show good?,Let’s pick 3 p.m.,3 o’clock session?,Cool—3 p.m. showing?,Let’s do the 3 o’clock.,3 p.m. ticket then.,Let’s grab the three-o’clock show.,3 p.m. showing?
友達を映画に誘う,B,6,決まり！楽しみだね。,決まり！楽しみ！,OK！楽しみ！,決定です！楽しみですね。,了解！楽しみー。,"Great, can’t wait.",Sure!,"Yes, excited.",Okay!,Deal.,"Perfect, looking forward to it.",Sounds like a plan.,Can’t wait.,Done!,Works for me!
宿題を忘れた,A,1,あれ、宿題持ってきた？,宿題持ってきた？,宿題ある？,宿題を持ってきましたか？,宿題持ってる？,Did you bring your homework?,Homework with you?,Got your assignment?,Bring the homework?,Homework here?,"Hey, you got your homework?",Homework on you?,Did you bring the assignment?,Got the homework with you?,Assignment in your bag?
宿題を忘れた,B,2,しまった、家に置いてきた！,やばい、家に置いてきた！,家に忘れた！,しまった、家に忘れてきました！,うわ、家に置いてきた。,"Oh no, I left it at home!",I forgot it!,Left it home.,"No, I forgot.","Not here, sorry.","Crap, I left it at home!",Nope—forgot it.,I totally spaced and left it.,Forgot it on my desk at home.,Afraid not.
宿題を忘れた,A,3,先生厳しいよ、大丈夫？,先生厳しいけど大丈夫？,先生怖いけど平気？,先生は厳しいですが大丈夫ですか？,先生厳しいけど？,The teacher is strict. Are you okay?,Teacher may be angry.,Tough teacher today.,That’s bad.,Teacher’s strict.,"Uh-oh, our teacher’s tough.","That’s rough, he’s strict.",The teacher’s not gonna like that.,Yikes.,Teacher’s gonna flip.
宿題を忘れた,B,4,放課後に提出していいか聞いてみる。,放課後に出していいか聞く。,放課後提出できないか聞いてみる。,放課後提出してもよいか聞いてみます。,放課後提出お願いしよ。,I’ll ask if I can hand it in after school.,I will ask to submit later.,I’ll try after-school submit.,I will talk to teacher.,I’ll hand in later.,I’ll ask if I can turn it in after school.,I’ll try to hand it in later.,I’ll see if late submission’s okay.,I’ll beg for after-school submission.,I’ll talk to her later.
宿題を忘れた,A,5,手伝えることある？,何か手伝おうか？,助けようか？,私にできることはありますか？,手伝おうか？,Need any help?,Can I help?,Want help?,Anything I can do?,Help needed?,Want me to help?,Need anything?,Can I help somehow?,Want backup?,Anything I can do?
宿題を忘れた,B,6,コピーだけ借りてもいい？,コピーさせてもらえる？,答案見せてくれる？,コピーを取らせてもらっていいですか？,写させてもらっても？,Can I borrow a copy?,Let me see your copy?,Need to check answers.,Show me your sheet?,"Copy, please.",Mind if I peek at yours to make a copy?,Could I borrow yours to photocopy?,Just need to scan your answers.,Let me copy yours real quick?,Can I snap pics of your work?
道を尋ねる,A,1,すみません、駅はどちらですか？,駅までどう行きますか？,駅ってどこですか？,すみません、駅はどちらでしょうか？,駅はどこ？,"Excuse me, where is the station?","Sorry, station?",How can I get to the station?,"Where’s the station, please?","Excuse me, station direction?","Excuse me, how do I get to the station?",Could you point me to the station?,"Sorry, where’s the train station?","Hi, I’m looking for the station.",Station’s this way?
道を尋ねる,B,2,この道をまっすぐ行って二つ目の信号を左です。,まっすぐ行って2つ目の信号左です。,まっすぐ行って二番目の信号を左。,この道を直進し、二つ目の信号を左折です。,まっすぐで二つ目左。,Go straight and turn left at the second light.,"Straight, then left at 2nd signal.","Walk straight, turn left at the second traffic light.","Straight ahead, left at second light.","Go straight, second light, turn left.",Head straight down this road and take a left at the second light.,"Go straight, hang a left at the second traffic light.","Straight ahead, left at the second light.","Keep going straight, take the second left at the lights.","Straight down, left at light number two."
道を尋ねる,A,3,徒歩で10分くらい？,歩いて10分？,10分くらいで着く？,徒歩で10分ほどですか？,10分くらい？,About ten minutes on foot?,Ten-minute walk?,Takes ten minutes?,Ten minutes walking?,About 10 min?,Roughly a ten-minute walk?,About ten minutes?,Ten minutes on foot?,Is it a ten-minute walk?,About ten minutes?
道を尋ねる,B,4,はい、それくらいです。,うん、それくらい。,はい、それぐらい。,はい、その程度です。,うん、同じくらい。,"Yes, around that.",Yes.,About that.,"Yes, roughly.","Yes, around that.","Yep, give or take.",More or less.,Around that.,Approximately.,Close enough.
道を尋ねる,A,5,ありがとうございます。,助かります、ありがとう。,ありがとう！,ありがとうございます。,感謝！,Thank you.,Thanks.,Thanks a lot.,Thank you very much.,Thanks!,Thanks so much.,Appreciate it.,Thanks.,"Great, thanks!",Thanks a ton.
道を尋ねる,B,6,どういたしまして。,いいえ、どういたしまして。,どうも。,いえいえ。,どういたしまして～。,You’re welcome.,No problem.,Anytime.,You’re welcome.,Sure.,No worries.,Happy to help.,Anytime.,You bet.,Sure thing.
写真を撮ってもらう,A,1,すみません、写真を撮っていただけますか？,すみません、写真お願いできます？,写真撮ってもらえますか？,恐れ入りますが、写真を撮っていただけますか？,写真いいですか？,"Excuse me, could you take a picture for us?","Sorry, can you take a photo?",Could you take our picture?,Would you mind taking a photo?,Please take our picture.,"Hi, could you snap a photo for us?",Mind taking a picture of us?,Would you snap a quick photo?,"Excuse me, can you take our picture?",Could you help us with a photo?
写真を撮ってもらう,B,2,もちろんです。カメラはどこを押せばいいですか？,いいですよ。どのボタン？,はい、どこ押せばいい？,承知しました。どのボタンを押せばよろしいですか？,OK、どこ？,Sure. Which button?,Yes. Where do I press?,Of course. Which button?,No problem. Button?,Alright. Which button?,Sure thing—what button do I hit?,Not at all. Which shutter?,Of course. Where do I press?,Sure! Which button do I push?,Happy to. Button?
写真を撮ってもらう,A,3,このボタンです。背景にタワーが入るようにお願いします。,このボタンで。タワー入れてください。,ここです。タワー映るように。,こちらです。後ろのタワーが入るようお願いします。,これです。タワー入れてね。,This one. Please get the tower behind us.,Here. Please include the tower.,"The big one here. Tower in background, please.",This. Please show the tower.,This one. Tower behind us.,This one here. Could you get the tower in the background?,The big button. Please include the tower.,Right here. Make sure the tower’s in frame.,This one. Please get the tower behind.,"This. Tower in the back, please."
写真を撮ってもらう,B,4,わかりました。はい、チーズ！,了解！はいチーズ！,OK！チーズ！,承知しました。では、チーズ！,OK、チーズ！,Okay. Say cheese!,Got it. Cheese!,Sure. Cheese!,Okay. Cheese!,Alright. Cheese!,"Absolutely. Okay, say cheese!",Got it. Cheese!,You bet. Say cheese!,No problem. Cheese!,Okay. Cheese!
写真を撮ってもらう,A,5,ありがとうございます。ちゃんと撮れましたか？,ありがとう！ちゃんと撮れた？,ありがとう、撮れてる？,ありがとうございます。しっかり写っていますか？,サンキュー！撮れた？,Thank you. Is it good?,Thanks. Looks fine?,Thank you very much. Good?,Thanks a lot. Is it okay?,Thank you. Nice shot?,Thanks! Did it turn out?,Appreciate it. All good?,Thanks a ton. How’s it look?,Thanks. Good shot?,Thank you! Turned out alright?
写真を撮ってもらう,B,6,ばっちりですよ。,バッチリ！,完璧です！,ばっちり撮れていますよ。,いい感じ！,It’s great.,Perfect.,Very good.,Looks great.,"Yes, nice.",Looks awesome.,Perfect shot.,Crystal clear.,"Yep, looks great.",Fantastic.
病院で予約,A,1,来週の午前で予約できますか？,来週の午前予約取れます？,来週午前、予約いけます？,来週の午前中に予約を取れますか？,来週の午前空いてますか？,Can I make an appointment next week in the morning?,I need a morning slot next week.,Any morning time next week?,Can I see the doctor next week morning?,"Morning appointment next week, please.",Could I book a morning appointment for next week?,I need a morning slot next week. Anything open?,Any availability next week in the morning?,I’d like to set up a morning appointment for next week.,"Could you fit me in next week, preferably morning?"
病院で予約,B,2,火曜の10時なら空いています。,火曜10時空いてます。,火曜10時ならいけます。,火曜日の10時なら空いております。,火曜10時なら空き。,Tuesday at 10 a.m. is open.,10 a.m. Tuesday is free.,Tuesday 10 works.,We have 10 a.m. Tuesday.,Tuesday at ten is available.,We’ve got Tuesday at 10 a.m. open.,How’s Tuesday at ten?,"Tuesday, 10 a.m. is free.",The doctor’s free Tuesday at ten.,"We can do Tuesday, 10 a.m."
病院で予約,A,3,その時間でお願いします。,その時間で。,じゃあそれで。,その時間でお願いします。,それでお願いします。,I’ll take it.,"Okay, book it.",Please reserve.,That is fine.,I’ll take that.,"Perfect, I’ll take it.",Works for me.,Let’s book that.,"Great, sign me up.",That’s perfect.
病院で予約,B,4,保険証をお持ちですか？,保険証ありますか？,保険証は？,保険証をお持ちでしょうか？,保険証あります？,Do you have your insurance card?,"Insurance card, please?",Do you have insurance?,Insurance card?,Do you carry your insurance card?,Do you have your insurance card with you?,Can I see your insurance card?,Do you have your insurance card handy?,May I have your insurance card?,"Insurance card, please?"
病院で予約,A,5,はい、こちらです。,はい、あります。,はい、これです。,はい、こちらになります。,はい、どうぞ。,"Yes, here.",Here you are.,Yes.,I have it.,"Yes, here.","Yes, right here.","Sure, here you go.",I do.,Here it is.,"Yes, here."
病院で予約,B,6,では予約を確定しました。,予約を取りました。,予約完了です。,ではご予約を確定いたしました。,予約確定しました。,Your appointment is set.,Appointment made.,Confirmed.,Done.,Appointment fixed.,"Great, you’re all set.",Appointment confirmed.,You’re scheduled.,You’re booked.,All scheduled.
スーパーで値段確認,A,1,すみません、このりんごはいくらですか？,すみません、このリンゴいくら？,このりんごの値段は？,失礼します、このりんごはいくらですか？,りんごいくら？,"Excuse me, how much is this apple?",How much for this apple?,"Price of this apple, please?",This apple—how much?,"Excuse me, apple cost?","Hi, what’s the price on these apples?",How much are these apples?,Price check on this apple?,What do these apples run?,Could you tell me the price of this apple?
スーパーで値段確認,B,2,１個120円になります。,1個120円です。,120円です。,1個120円でございます。,120円だよ。,It’s 120 yen each.,120 yen.,120 yen each.,120 yen.,120 yen per one.,They’re 120 yen each.,A buck-twenty each.,120 yen apiece.,120 yen each.,120 yen.
スーパーで値段確認,A,3,３つお願いします。,3つください。,3個ください。,3つお願いします。,3個ね。,I’ll take three.,Give me three.,I want three.,"Three, please.",I’ll buy three.,"I’ll grab three, thanks.",I’ll take three.,Make it three.,I’ll take three of them.,I’ll have three.
スーパーで値段確認,B,4,かしこまりました。,承知しました。,了解です。,かしこまりました。,了解～。,Sure.,Okay.,Alright.,Certainly.,Got it.,Sure thing.,No problem.,You got it.,Alright.,Certainly.
スーパーで値段確認,A,5,他におすすめはありますか？,他にオススメある？,ほかに安いのある？,他におすすめの商品はありますか？,他に何かいいのある？,Any other good fruit?,Other recommendation?,Anything else good?,Any cheap items?,Another suggestion?,Anything else worth picking up?,Any other deals?,What else is good?,Anything else worth grabbing?,Any other bargains?
スーパーで値段確認,B,6,今日のバナナも安いですよ。,バナナが安いですよ。,今日はバナナが安いです。,本日はバナナもお安くなっています。,バナナ安いよ。,Bananas are cheap today.,Bananas cost less now.,Bananas are on sale.,Bananas today.,Try bananas.,Bananas are a steal today.,Bananas are marked down.,Bananas are cheap right now.,Bananas are on special.,"Bananas, for sure."
充電器を借りる,A,1,ごめん、電池が１％しかない！充電器貸してくれる？,バッテリー1％！充電器貸して？,電池ヤバい！充電器ある？,申し訳ないですが、充電器をお借りできますか？,充電器貸して～。,My battery is 1%. Can I borrow your charger?,"Battery almost dead. Charger, please?",Can I use your phone charger?,Only 1% left! Charger?,Phone dying. May I borrow charger?,I’m down to one percent—can I snag your charger?,Phone’s about to die. Mind if I borrow your cable?,Got a spare charger? I’m on 1%.,My battery’s tanking. Can I use your charger?,Charger emergency—only 1%!
充電器を借りる,B,2,いいよ、これ使って。,どうぞ、これ。,これ使っていいよ。,ええ、こちらをどうぞ。,はい、どうぞ。,"Sure, use this.",Here you go.,Of course.,Take mine.,"Yes, here.","Yeah, here you go.",Not at all.,"Sure, use mine.",Absolutely.,"Here, plug in."
充電器を借りる,A,3,助かった、30分だけ借りるね。,助かる！30分で返すね。,30分だけ借りる！,助かります、30分だけお借りします。,30分で返す！,"Thanks, only 30 minutes.",I’ll use it for half an hour.,I need just 30 minutes.,"30 minutes, okay?",30-minute borrow.,Lifesaver. I’ll give it back in half an hour.,I’ll plug in for thirty minutes.,I’ll return it soon.,Just half an hour.,I’ll be quick.
充電器を借りる,B,4,了解。,OK。,わかった。,了解しました。,りょ！,Okay.,No problem.,That’s fine.,Sure.,Fine.,Cool.,Sounds good.,All good.,That’s fine.,Take your time.
充電器を借りる,A,5,本当にありがとう。,ありがとう！,マジ感謝！,本当にありがとうございます。,感謝！,Really thank you.,Thanks a lot.,Thank you!,Thanks!,Thanks.,Thanks a ton.,Really appreciate it.,Thanks!,Thanks heaps.,Thank you.
充電器を借りる,B,6,どういたしまして。,いえいえ。,いつでも！,どういたしまして。,いいよ～。,You’re welcome.,Anytime.,No problem.,Welcome.,Welcome.,No worries.,Anytime.,Happy to help.,You bet.,Sure thing.
昼食のメニュー,A,1,今日のお昼、何にする？,今日のランチどうする？,お昼何食べる？,今日の昼食は何にしましょうか？,昼どうする？,What should we eat for lunch?,Lunch menu?,What do you want for lunch?,Choose lunch?,What’s for lunch today?,Any idea for lunch?,What’re we having for lunch?,Lunch plans?,"So, what’s for lunch?",Got lunch thoughts?
昼食のメニュー,B,2,パスタとカレーで迷ってる。,パスタかカレー悩む。,パスタかカレーで迷うな。,パスタとカレーで悩んでいます。,パスタかカレーかな。,I can’t choose pasta or curry.,Pasta or curry?,I’m thinking pasta or curry.,Pasta vs curry.,Can’t decide—pasta or curry.,Torn between pasta and curry.,Either pasta or curry.,I can’t pick: pasta or curry.,Debating pasta versus curry.,"Pasta or curry, can’t decide."
昼食のメニュー,A,3,カレーにしようよ、雨で寒いし。,寒いしカレーにしよう。,雨だしカレーにしよう！,今日は雨で寒いのでカレーにしませんか？,寒いしカレー！,Let’s pick curry; it’s cold.,Cold day—curry better.,How about curry?,Curry because it’s chilly.,Curry warms us up.,Go with curry—it’s freezing out.,Curry sounds cozier.,Let’s warm up with curry.,I vote curry—rainy day comfort.,Curry’s perfect in this weather.
昼食のメニュー,B,4,じゃあカレーに決定。,OKカレーね。,カレー決まり！,ではカレーに決定です。,カレーで決まり。,"Okay, curry it is.","Sure, curry.",Sounds good.,"Curry, then.",Let’s do it.,Works for me.,Curry it is.,Sure thing.,Agreed.,"Alright, curry."
昼食のメニュー,A,5,大盛りにしようかな。,大盛にしよっかな。,大盛にしよ。,大盛りにしようと思います。,大盛にしよっ。,I’ll get a large size.,I want big plate.,"Large, maybe.",Large one.,Big size!,I’m ordering a large.,I might supersize it.,Going large.,Large bowl.,I’ll get the biggest one.
昼食のメニュー,B,6,私も同じく！,私も！,同じく大盛！,私も同じ大盛りで！,私もだよ！,Me too!,Same here.,I’ll copy you.,Same.,Me as well.,Make that two.,Same here.,Ditto.,I’ll join you.,I’m in.
落とし物を渡す,A,1,これ、廊下で財布を拾ったんだけど。,廊下で財布拾ったよ。,財布拾った～。,廊下で財布を拾ったのですが。,財布落ちてた。,I found this wallet in the hall.,Picked up a wallet.,Found a wallet outside.,"Look, a wallet.","Wallet on floor, I got it.",I just found a wallet in the hallway.,Picked up a wallet out there.,Found someone’s wallet.,Look what I found—a wallet.,Wallet on the floor; I picked it up.
